Latitude,Longitude
22.52483749,88.33085632
22.52475929,88.33082581
22.52474022,88.33081055
22.52466583,88.33078003
22.52450371,88.33074188
22.52420616,88.33069611
22.52387619,88.33061218
22.52349091,88.33053589
22.52305031,88.33045197
22.52265167,88.33035278
22.52231407,88.33030701
22.522192,88.33023834
22.52214432,88.33017731
22.52215195,88.33009338
22.52218819,88.32993317
22.52224159,88.32968903
22.5222702,88.32933044
22.52230263,88.32905579
22.52219963,88.32884216
22.52213097,88.32862854
22.52209091,88.32849884
22.5220871,88.32839966
22.52212715,88.32820892
22.52212334,88.32802582
22.52212715,88.32791138
22.52212715,88.3278656
22.52214432,88.32770538
22.52220917,88.3274765
22.52228928,88.3272934
22.52234268,88.32711792
22.52242088,88.32683563
22.52247238,88.32659149
22.5225296,88.32624054
22.52254677,88.32597351
22.522295,88.32568359
22.52205086,88.32543945
22.52194405,88.32526398
22.52195549,88.32512665
22.52196884,88.32493591
22.52197266,88.32486725
22.52199364,88.3247757
22.52199364,88.32467651
22.52198029,88.32466125
22.52204132,88.32462311
22.52210236,88.32462311
22.52214432,88.32460785
22.52215195,88.32460785
22.52215958,88.32460785
22.52216339,88.32462311
22.52215576,88.32463837
22.5221386,88.32459259
22.52211571,88.32456207
22.52211952,88.32454681
22.52214813,88.32454681
22.52217674,88.32454681
22.52224159,88.32456207
22.52230263,88.32457733
22.52235603,88.32457733
22.52242088,88.32460785
22.52249336,88.32463837
22.5225296,88.32466125
22.52257919,88.32467651
22.52263641,88.32470703
22.52266502,88.32470703
22.52270126,88.32475281
22.5227623,88.3247757
22.52280235,88.3247757
22.52285957,88.3247757
22.52291298,88.32475281
22.52297783,88.32472229
22.52303886,88.32475281
22.52305031,88.32480621
22.52311134,88.32479095
22.52311134,88.32483673
22.52316856,88.32483673
22.52322578,88.32482147
22.52323723,88.32485199
22.52330399,88.32483673
22.52332687,88.32485199
22.52337646,88.32486725
22.52342606,88.32485199
22.52345467,88.32488251
22.52356339,88.32488251
22.52358055,88.3249054
22.52365303,88.32493591
22.52373505,88.32493591
22.52373886,88.32498169
22.52383995,88.32499695
22.52391815,88.32501984
22.52397537,88.3250351
22.52404785,88.3250351
22.52404404,88.32499695
22.52416992,88.32505035
22.52425194,88.32506561
22.52429199,88.32506561
22.52429581,88.32508087
22.5243206,88.32509613
22.52438545,88.32511139
22.52444649,88.32512665
22.52454758,88.32514954
22.52458572,88.32511139
22.52464104,88.32519531
22.52468681,88.32519531
22.52471542,88.32521057
22.52471924,88.32521057
22.5247364,88.32521057
22.52474022,88.32521057
22.52475929,88.32519531
22.52477264,88.32522583
22.52478027,88.32530975
22.52487755,88.32526398
22.5248661,88.32524109
22.52496338,88.32527924
22.52490616,88.32535553
22.52498817,88.32539368
22.52499962,88.32542419
22.52508926,88.32530975
22.52511406,88.32532501
22.5251503,88.32545471
22.52527618,88.32537079
22.52536201,88.32539368
22.52538681,88.32540894
22.52540207,88.32555389
22.52555656,88.32545471
22.52553368,88.32542419
22.52564621,88.32548523
22.52572823,88.32550812
22.52576828,88.32550812
22.52582169,88.32552338
22.52591133,88.32553864
22.52596855,88.32555389
22.52606583,88.32556915
22.5260582,88.32559967
22.52614784,88.32561493
22.52630234,88.32565308
22.52633476,88.32566833
22.52640724,88.32566833
22.52654266,88.32571411
22.52664757,88.32572937
22.52653885,88.32588196
22.52630997,88.32591248
22.52601242,88.32582855
22.52570343,88.32568359
22.52466583,88.32527924
22.52460098,88.32526398
22.52458,88.32526398
22.52456093,88.32527924
22.52444267,88.32527924
22.52433205,88.32524109
22.52419853,88.32522583
22.52402306,88.32518005
22.52384377,88.32514954
22.52364922,88.32509613
22.52351952,88.32506561
22.52342987,88.32506561
22.52331543,88.32501984
22.52322197,88.32499695
22.52315712,88.32495117
22.52308846,88.32496643
22.52298546,88.32493591
22.52292824,88.32483673
22.52283478,88.32488251
22.52267265,88.32488251
22.52267265,88.32483673
22.52249718,88.32482147
22.52235985,88.32480621
22.52231407,88.3247757
22.52219582,88.32475281
22.52218056,88.32472229
22.52215576,88.32470703
22.52210236,88.32470703
22.52210617,88.32473755
22.52193642,88.32459259
22.52190399,88.32463837
22.52188683,88.32462311
22.52182198,88.32457733
22.52186203,88.32454681
22.52172089,88.32457733
22.52170372,88.32457733
22.52168465,88.32457733
22.52170372,88.32454681
22.52171707,88.32453156
22.52166367,88.32449341
22.52163887,88.32447815
22.52155304,88.32447815
22.52152824,88.32446289
22.52152061,88.32444763
22.52145958,88.32444763
22.52135086,88.32443237
22.52133369,88.32439423
22.5212326,88.32437897
22.52118301,88.32439423
22.5211544,88.32436371
22.52095985,88.32441711
22.52093506,88.32434845
22.52091408,88.32431793
22.52086258,88.32430267
22.52075958,88.32428741
22.52068329,88.32430267
22.52063751,88.32428741
22.52063751,88.32424927
22.52065086,88.32424927
22.52055168,88.32426453
22.52054787,88.32426453
22.52045059,88.32420349
22.52041435,88.32418823
22.52039719,88.32421875
22.52017021,88.32413483
22.52011681,88.32415009
22.51995468,88.32411957
22.51995087,88.32407379
22.51974678,88.32402039
22.51965714,88.32405853
22.51953506,88.32400513
22.5194912,88.32395935
22.51935959,88.32394409
22.5192337,88.32395935
22.51910782,88.32390594
22.51894951,88.32381439
22.51890945,88.32382965
22.51867294,88.32384491
22.51864433,88.32379913
22.51854324,88.32371521
22.51855469,88.32369995
22.51828575,88.3236618
22.51824188,88.32363129
22.51812744,88.32364655
22.51813507,88.32369995
22.5179615,88.32358551
22.51789474,88.32358551
22.5177002,88.3235321
22.51766014,88.32355499
22.51761055,88.32357025
22.51745987,88.32351685
22.51742744,88.32347107
22.51740265,88.32348633
22.51712608,88.3234024
22.51709366,88.3234024
22.51704025,88.3234024
22.5170536,88.32344055
22.51689911,88.32335663
22.51682472,88.32332611
22.51675606,88.32334137
22.51663017,88.32328796
22.51657295,88.32327271
22.5165844,88.32334137
22.51644325,88.32328796
22.51642609,88.32327271
22.51639748,88.32328796
22.51638603,88.32327271
22.51640129,88.32322693
22.51640701,88.32322693
22.51643944,88.32324219
22.51629639,88.32319641
22.51625252,88.32317352
22.5162468,88.32321167
22.51619911,88.32325745
22.51615334,88.32317352
22.51616287,88.32314301
22.51618195,88.32312775
22.51618576,88.32312775
22.5161953,88.32314301
22.51619911,88.32315826
22.51612473,88.32319641
22.51609612,88.32324219
22.51604462,88.32324219
22.51605225,88.32317352
22.51607323,88.32314301
22.51610565,88.32309723
22.51601601,88.32312775
22.51601219,88.32312775
22.51591301,88.32312775
22.51590919,88.32309723
22.51589012,88.32308197
22.51586914,88.32315826
22.5157795,88.32309723
22.51560402,88.32308197
22.51556778,88.32299805
22.5155201,88.32301331
22.51538849,88.32295227
22.51525879,88.32296753
22.51517677,88.32291412
22.51512909,88.32285309
22.51483917,88.32285309
22.51481438,88.32279968
22.51463699,88.32275391
22.51460838,88.32270813
22.51440048,88.32272339
22.51421738,88.32262421
22.51417732,88.32263947
22.51411629,88.32259369
22.5138588,88.32259369
22.51373672,88.32250977
22.51368332,88.32247925
22.51355743,88.32242584
22.51346397,88.32249451
22.51330185,88.32238007
22.5131588,88.32233429
22.51309776,88.3223114
22.5130825,88.32236481
22.51285744,88.32223511
22.5127449,88.32216644
22.51268768,88.3221817
22.51267433,88.32221985
22.5123539,88.322052
22.51234627,88.32203674
22.51225662,88.32200623
22.51220703,88.32203674
22.51213837,88.32195282
22.51190186,88.32187653
22.51189041,88.32186127
22.51187325,88.32187653
22.51166534,88.32177734
22.51161766,88.32180786
22.51155663,88.32176208
22.51144218,88.32169342
22.51141357,88.32170868
22.51130295,88.32167816
22.51127434,88.32164764
22.51108742,88.32163239
22.51107597,88.32163239
22.51098251,88.32156372
22.51086044,88.32151794
22.51079178,88.32150269
22.51068115,88.32146454
22.51055527,88.32144928
22.51048088,88.32141876
22.51039314,88.32137299
22.51032639,88.32135773
22.51022148,88.32130432
22.51016808,88.32135773
22.51014328,88.3212204
22.5100174,88.3212204
22.51002121,88.32128906
22.51001358,88.32130432
22.5100174,88.32131958
22.51000214,88.32133484
22.50998497,88.32131958
22.51001358,88.32135773
22.50998878,88.32137299
22.50991631,88.32130432
22.50992393,88.32125854
22.50978661,88.3211441
22.50979042,88.32106018
22.50962639,88.32106018
22.50956535,88.32104492
22.50956154,88.32104492
22.50955009,88.32102966
22.50953293,88.32106018
22.50943184,88.32107544
22.5093956,88.3210907
22.50939178,88.32097626
22.50922012,88.32097626
22.50920486,88.320961
22.5091629,88.32086945
22.50909805,88.32093048
22.50902176,88.32091522
22.50892258,88.32084656
22.50892258,88.32078552
22.50900841,88.32078552
22.50923729,88.32081604
22.50864983,88.32071686
22.50863075,88.32068634
22.50857353,88.32071686
22.50857735,88.32054138
22.50835419,88.3205719
22.50827217,88.32058716
22.50821114,88.3205719
22.50814247,88.3205719
22.50804901,88.32067108
22.50788498,88.32071686
22.50788116,88.32048798
22.5078907,88.32045746
22.50802803,88.32035828
22.50760841,88.32032776
22.50754738,88.32024384
22.50748253,88.32019806
22.50746346,88.32016754
22.50742912,88.32013702
22.50736427,88.32008362
22.50728798,88.32011414
22.50731277,88.32015228
22.50740242,88.32024384
22.50745773,88.32039642
22.507267,88.3205719
22.50736046,88.32064056
22.50743484,88.32065582
22.50761795,88.3207016
22.50705528,88.32021332
22.50714493,88.32006836
22.50717735,88.32008362
22.50720215,88.32003784
22.50723076,88.3200531
22.50692558,88.31998444
22.50681496,88.3199234
22.50675392,88.31993866
22.5066452,88.31985474
22.50658035,88.31977844
22.50656319,88.3197937
22.50655556,88.3197937
22.50653839,88.3197937
22.50651932,88.31982422
22.5064621,88.31977844
22.50647736,88.31975555
22.50638008,88.31972504
22.50631523,88.31970978
22.50629807,88.31969452
22.50614738,88.31969452
22.50617218,88.3197937
22.50612068,88.31980896
22.5060997,88.31959534
22.5057869,88.31964874
22.50574112,88.31962585
22.5057621,88.31958008
22.50563622,88.31943512
22.50536346,88.3194809
22.50531006,88.3194809
22.50510597,88.31938171
22.50520897,88.31926727
22.50494766,88.31930542
22.50488281,88.31932068
22.50475693,88.3192215
22.50465012,88.31919098
22.50457001,88.31917572
22.5044117,88.31907654
22.50435448,88.31910706
22.50436211,88.31912231
22.50436211,88.31913757
22.50436592,88.31913757
22.50435829,88.31913757
22.50433731,88.31912231
22.50430107,88.3190918
22.50431633,88.31907654
22.50433731,88.31906128
22.5042038,88.31904602
22.50419044,88.3189621
22.50421143,88.31884766
22.50410652,88.31877899
22.50406075,88.31886292
22.50398445,88.31881714
22.50397873,88.31881714
22.50397491,88.31881714
22.5039711,88.31881714
22.50396347,88.31881714
22.50394249,88.31881714
22.50393105,88.31881714
22.50391388,88.31886292
22.50387001,88.31877899
22.50382805,88.31876373
22.50388527,88.3187027
22.50374031,88.31876373
22.5037117,88.31871796
22.50369453,88.31886292
22.50378036,88.31893158
22.50382042,88.31894684
22.50400734,88.31899261
22.50407219,88.3189621
22.50445175,88.31894684
22.5048542,88.31912231
22.50353622,88.31868744
22.50351906,88.31871796
22.50343513,88.31867218
22.50331688,88.31860352
22.50323486,88.31858826
22.50321007,88.31842804
22.50301933,88.31847382
22.50289726,88.31845856
22.5028038,88.31837463
22.50268555,88.31835938
22.50273895,88.31822968
22.50253105,88.31834412
22.50245857,88.31827545
22.50240517,88.31824493
22.50230789,88.31824493
22.50221443,88.31816101
22.50216103,88.31814575
22.50207138,88.31816101
22.5020256,88.31808472
22.50197792,88.31811523
22.50197029,88.31809998
22.50191689,88.31808472
22.50187492,88.31808472
22.50182343,88.31803131
22.50171661,88.31801605
22.50170898,88.31804657
22.50167656,88.31803131
22.50160789,88.31798553
22.50165558,88.31790161
22.50150871,88.31797028
22.5014534,88.31793976
22.50137138,88.31793976
22.50138664,88.31788635
22.5012455,88.31780243
22.50105858,88.31780243
22.50102997,88.31777191
22.5010376,88.31785583
22.50088692,88.31772614
22.50073624,88.31772614
22.50070381,88.31774139
22.5006752,88.31769562
22.50059891,88.31775665
22.5005455,88.31771088
22.50049591,88.31764221
22.5003624,88.31764221
22.50035477,88.31765747
22.50020409,88.31767273
22.50018692,88.31764221
22.50011826,88.31759644
22.50004005,88.31765747
22.5,88.31758118
22.49996376,88.31755829
22.50002098,88.31752777
22.49990273,88.31752777
22.49987793,88.31752777
22.49985313,88.31755829
22.49987411,88.31759644
22.49971199,88.31752777
22.49967384,88.31755829
22.49964142,88.31749725
22.49958992,88.31751251
22.49949074,88.31754303
22.49943924,88.31748199
22.49932861,88.31748199
22.49932098,88.31749725
22.49927139,88.31739807
22.49923515,88.31735229
22.49907684,88.31736755
22.4990406,88.31733704
22.4989872,88.31738281
22.49893761,88.31736755
22.49891281,88.31731415
22.49887276,88.31735229
22.49885178,88.31736755
22.49877167,88.31731415
22.4987793,88.31729889
22.49877167,88.31725311
22.49868965,88.31728363
22.49864006,88.31723785
22.49862099,88.31726837
22.49854279,88.31725311
22.49852753,88.31729889
22.49846268,88.31725311
22.49839211,88.31718445
22.49831581,88.31728363
22.49819374,88.31723785
22.49811935,88.3172226
22.49809647,88.31725311
22.4981041,88.31715393
22.49813652,88.31705475
22.49797821,88.31718445
22.49772453,88.31723785
22.49770927,88.31723785
22.49769783,88.31726837
22.49768066,88.31726837
22.49763107,88.31728363
22.49759865,88.31729889
22.49758339,88.31726837
22.49753761,88.31712341
22.49745369,88.3170929
22.4974041,88.3170929
22.49738312,88.31702423
22.49731445,88.31707001
22.49724197,88.31712341
22.49712753,88.31697845
22.4970417,88.31712341
22.49694443,88.31716919
22.49688721,88.31705475
22.49693108,88.31702423
22.49684334,88.31689453
22.49672508,88.31702423
22.49673271,88.31703949
22.49645233,88.31690979
22.49637794,88.31689453
22.49637032,88.3169632
22.4963913,88.31676483
22.49615479,88.31682587
22.49600029,88.31678009
22.49594307,88.31684875
22.49585342,88.31674957
22.49572754,88.31658173
22.49560165,88.31665039
22.49563026,88.31671906
22.4955616,88.31676483
22.49546242,88.31673431
22.49544334,88.31673431
22.49543381,88.31669617
22.49539757,88.31669617
22.49528313,88.31665039
22.49535751,88.31655121
22.49518204,88.31650543
22.49518585,88.31649017
22.49514961,88.31649017
22.4951458,88.31649017
22.49513817,88.31649017
22.495121,88.31649017
22.49509621,88.31650543
22.49509621,88.31645203
22.49503136,88.31649017
22.49501991,88.31642151
22.49498749,88.31640625
22.49494171,88.31637573
22.49490547,88.31637573
22.49484825,88.31645203
22.49476242,88.31650543
22.49467278,88.31645203
